RMS,MAE,MAPE
6.027643978,6.027643978,2750.865073
RMS,MAE,MAPE
0.231882896,0.231882896,844.881634
RMS,MAE,MAPE
0.041685126,0.041685126,1044.924778
RMS,MAE,MAPE
0.056871223,0.056871223,544.6303109
RMS,MAE,MAPE
0.000158337,0.000158337,12.37562819
RMS,MAE,MAPE
0.181896689,0.181896689,1096.725978
RMS,MAE,MAPE
0.037742635,0.037742635,367.3856683
RMS,MAE,MAPE
0.02720001,0.02720001,263.6217536
RMS,MAE,MAPE
0.061218898,0.061218898,710.394641
RMS,MAE,MAPE
0.215583264,0.215583264,1326.934312
RMS,MAE,MAPE
0.339581741,0.339581741,845.3575654
RMS,MAE,MAPE
0.017803613,0.017803613,171.6481936
RMS,MAE,MAPE
0.130960547,0.130960547,20290.58796
RMS,MAE,MAPE
0.020904286,0.020904286,345.0123425
RMS,MAE,MAPE
0.017578581,0.017578581,305.6211804
RMS,MAE,MAPE
0.003568335,0.003568335,164.4879833
RMS,MAE,MAPE
0.050855932,0.050855932,376.7792413
RMS,MAE,MAPE
6.027643978,6.027643978,2750.865073
RMS,MAE,MAPE
0.231882896,0.231882896,844.881634
RMS,MAE,MAPE
0.041685126,0.041685126,1044.924778
RMS,MAE,MAPE
0.056871223,0.056871223,544.6303109
RMS,MAE,MAPE
0.000158337,0.000158337,12.37562819
RMS,MAE,MAPE
0.181896689,0.181896689,1096.725978
RMS,MAE,MAPE
0.181896689,0.181896689,1096.725978
RMS,MAE,MAPE
0.037742635,0.037742635,367.3856683
RMS,MAE,MAPE
0.02720001,0.02720001,263.6217536
RMS,MAE,MAPE
0.061218898,0.061218898,710.394641
RMS,MAE,MAPE
0.215583264,0.215583264,1326.934312
RMS,MAE,MAPE
0.339581741,0.339581741,845.3575654
RMS,MAE,MAPE
0.181896689,0.181896689,1096.725978
RMS,MAE,MAPE
0.037742635,0.037742635,367.3856683
RMS,MAE,MAPE
0.02720001,0.02720001,263.6217536
RMS,MAE,MAPE
0.061218898,0.061218898,710.394641
RMS,MAE,MAPE
0.215583264,0.215583264,1326.934312
RMS,MAE,MAPE
0.339581741,0.339581741,845.3575654
RMS,MAE,MAPE
0.181896689,0.181896689,1096.725978
RMS,MAE,MAPE
0.037742635,0.037742635,367.3856683
RMS,MAE,MAPE
0.02720001,0.02720001,263.6217536
RMS,MAE,MAPE
0.061218898,0.061218898,710.394641
