"Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","BID_MID"
0.916047972587093,0.831418485237484,0.906369228367628,0.925025240352402,0.531696173615077,0,1,0.921052631578947,0.910365853658537,0.921052631578947,0.910365853658537,0.921052631578947,0.921052631578947,0.921052631578947,0.531696173615077,0.489720159908624,0.531696173615077,0.915709242618742,"_"
"Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","BID_MID"
0.950469900939802,0.856081870325494,0.943223586061136,0.957037843031561,0.778765557531115,3.16246082483605e-199,0.886114085599552,0.886337543053961,0.968688845401174,0.889400921658986,0.967741935483871,0.889400921658986,0.886337543053961,0.887866589994249,0.221234442468885,0.196088392176784,0.220472440944882,0.927513194227568,"_"
"Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","BID_MID"
0.953529710512951,0.904353513504044,0.946483646110562,0.959892472276215,0.580497714575927,0,0.0384692450879588,0.935835351089588,0.966316710411199,0.952556993222428,0.954211663066955,0.952556993222428,0.935835351089588,0.94412213740458,0.419502285424073,0.392585068562722,0.412138141188421,0.951076030750393,"_"
"Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","BID_MID"
0.964204112718964,0.918589851739159,0.957920645333039,0.969786108935901,0.675298299060675,0,0.312216388343319,0.949960906958561,0.971052631578947,0.940402476780186,0.975821684926332,0.940402476780186,0.949960906958561,0.945157526254376,0.324701700939325,0.308453922315308,0.328002030972328,0.960506769268754,"_"
"Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","BID_MID"
1,1,0.998983736301178,1,0.963891951488423,1.134665959611e-58,NA,1,1,1,1,1,1,1,0.963891951488423,0.963891951488423,0.963891951488423,1,"_"
"Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","BID_MID"
0.967750126968004,0.9223037895945,0.961746904471459,0.97304533683414,0.707719654647029,0,0.286953857245659,0.950477845351868,0.974883387154647,0.939862542955326,0.979452054794521,0.939862542955326,0.950477845351868,0.945140388768898,0.292280345352971,0.277805992889792,0.295581513458608,0.962680616253257,"_"
"Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","BID_MID"
0.944599745870394,0.861628494048685,0.936988473399269,0.95154196060045,0.717916137229987,4.37263192313386e-291,0.00548850600749107,0.882882882882883,0.968849557522124,0.917602996254682,0.954656435298221,0.917602996254682,0.882882882882883,0.899908172635445,0.282083862770013,0.249047013977128,0.27141041931385,0.925866220202503,"_"
"Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","BID_MID"
0.939786585365854,0.864047751880501,0.931895620035526,0.947016478465899,0.67530487804878,0,0.00182122932916116,0.926447574334898,0.94620015048909,0.892238131122833,0.963970870065159,0.892238131122833,0.926447574334898,0.909021113243762,0.32469512195122,0.300813008130081,0.337144308943089,0.936323862411994,"_"
"Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","BID_MID"
0.968972533062055,0.929000227339465,0.963065287684957,0.974168430842268,0.681586978636826,0,0.00500661065744509,0.96405750798722,0.971268656716418,0.940031152647975,0.983006042296072,0.940031152647975,0.96405750798722,0.951892744479495,0.318413021363174,0.306968463886063,0.326551373346897,0.967663082351819,"_"
"Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","BID_MID"
0.944077275038129,0.871840510529312,0.936433799072064,0.951052374231027,0.682765632943569,0,0.0260906684811255,0.925480769230769,0.952717795979151,0.900936037441498,0.964932126696833,0.900936037441498,0.925480769230769,0.91304347826087,0.317234367056431,0.293594306049822,0.325876970005084,0.93909928260496,"_"
